playerID,AB,H,AVE
aardsda01,4,0,0
aaronha01,12364,3771,0.3049983824
aaronto01,944,216,0.2288135593
aasedo01,5,0,0
abadan01,21,2,0.09523809524
abadfe01,9,1,0.1111111111
abadijo01,49,11,0.2244897959
abbated01,3044,772,0.2536136662
abbeybe01,225,38,0.1688888889
abbeych01,1756,493,0.2807517084
abbotda01,7,1,0.1428571429
abbotfr01,513,107,0.2085769981
abbotje01,596,157,0.2634228188
abbotji01,21,2,0.09523809524
abbotku01,2044,523,0.2558708415
abbotky01,31,3,0.09677419355
abbotod01,70,13,0.1857142857
abbotpa01,20,5,0.25
aberal01,100,14,0.14
abercda01,4,0,0
abercre01,386,86,0.2227979275
abernbi01,1,0,0
abernbr01,868,212,0.2442396313
abernte01,5,1,0.2
abernte02,181,25,0.138121547
abernwo01,8,0,0
aberscl01,179,45,0.251396648
ablesha01,26,0,0
abnersh01,840,191,0.2273809524
abramca01,1611,433,0.268777157
abramge01,1,1,1
abregjo01,9,0,0
abreubo01,8480,2470,0.2912735849
abreujo01,28,6,0.2142857143
abreujo02,2913,858,0.2945417096
abreuto01,579,147,0.2538860104
abreuwi01,2,0,0
abstebi01,619,150,0.2423263328
accarje01,7,1,0.1428571429
aceveal01,2,0,0
acevejo01,101,8,0.07920792079
aceveju01,65,6,0.09230769231
ackerji01,54,9,0.1666666667
ackerto01,77,5,0.06493506494
ackledu01,2125,512,0.2409411765
acklefr01,6,2,0.3333333333
acostcy01,7,0,0
acosted01,29,1,0.03448275862
acostjo01,60,9,0.15
acostma01,6,0,0
acostme01,436,111,0.254587156
acunaro01,433,127,0.2933025404
adairje01,4019,1022,0.2542921125
adairji01,76,21,0.2763157895
adamecr01,306,63,0.2058823529
adamewi01,288,80,0.2777777778
adamsac01,99,12,0.1212121212
adamsau01,1,0,0
adamsba01,1019,216,0.2119725221
adamsbe01,678,137,0.2020648968
adamsbo01,3,1,0.3333333333
adamsbo02,3,0,0
adamsbo03,4019,1082,0.2692211993
adamsbo04,24,6,0.25
adamsbu01,2003,532,0.2656015976
adamsda01,55,8,0.1454545455
adamsda02,140,27,0.1928571429
adamsdi01,89,18,0.202247191
adamsdo01,14,3,0.2142857143
adamsge01,13,3,0.2307692308
adamsgl01,1617,452,0.2795299938
adamshe01,337,88,0.2611275964
adamsji01,4,1,0.25
adamsjo01,2,0,0
adamsjo02,10,3,0.3
adamska01,32,1,0.03125
adamsla01,137,36,0.2627737226
adamsma01,2026,539,0.266041461
adamsmi01,6,2,0.3333333333
adamsmi02,118,23,0.1949152542
adamsmi03,2,0,0
adamsre01,1,0,0
adamsri01,23,4,0.1739130435
adamsri02,247,53,0.2145748988
adamsru01,884,218,0.2466063348
adamsry01,89,25,0.2808988764
adamssp01,5557,1588,0.2857657009
adamssp02,395,101,0.2556962025
adamste01,78,4,0.05128205128
adamswi01,88,9,0.1022727273
adcocjo01,6606,1832,0.2773236452
adcocna01,1,0,0
addisbo01,534,150,0.2808988764
adducji01,144,34,0.2361111111
adducji02,391,92,0.2352941176
addybo01,1231,341,0.2770105605
aderhmo01,262,70,0.2671755725
adkinde01,22,5,0.2272727273
adkindi01,7,1,0.1428571429
adkindo01,12,2,0.1666666667
adkingr01,116,21,0.1810344828
adkinhe01,5,2,0.4
adkinjo01,1,0,0
adlemti01,50,7,0.14
adlesda01,256,43,0.16796875
adriaeh01,788,191,0.2423857868
afenitr01,79,15,0.1898734177
affelje01,17,3,0.1764705882
agbaybe01,1091,299,0.274060495
ageeto01,3912,999,0.2553680982
agganha01,517,135,0.2611218569
aglerjo01,751,185,0.2463382157
agnewsa01,1537,314,0.2042940794
agostju01,20,2,0.1
aguaylu01,1104,260,0.2355072464
aguilch01,230,53,0.2304347826
aguilje01,829,219,0.2641737033
aguilri01,139,28,0.2014388489
aguirha01,388,33,0.08505154639
ahearch01,4,1,0.25
ahmedni01,1458,334,0.2290809328
aikenwi01,2492,675,0.2708667737
aingeda01,665,146,0.2195488722
ainsmed01,3048,707,0.2319553806
ainswku01,28,2,0.07142857143
aitchra01,59,10,0.1694915254
aitonge01,17,4,0.2352941176
akejo01,52,10,0.1923076923
akerfda01,9,1,0.1111111111
akerja01,92,7,0.07608695652
akersbi01,475,124,0.2610526316
akersje01,6,2,0.3333333333
alberan01,1,1,1
alberbu01,18,5,0.2777777778
albercy01,7,0,0
albergu01,426,84,0.1971830986
alberha01,182,35,0.1923076923
alberma01,35,3,0.08571428571
albieoz01,856,229,0.2675233645
albosed01,12,1,0.08333333333
albreed01,3,0,0
albrija01,99,23,0.2323232323
alburvi01,1,0,0
alcalsa01,71,8,0.1126760563
alcanar01,428,81,0.1892523364
alcanis01,115,31,0.2695652174
alcansa01,12,0,0
alcarlu01,365,70,0.1917808219
alcocsc01,156,27,0.1730769231
alderda01,7,0,0
aldremi01,2147,565,0.2631578947
aldresc01,1,0,0
aldrico01,18,1,0.05555555556
aldrija01,1,0,0
aldrivi01,581,133,0.2289156627
alenoch01,320,67,0.209375
alexabo01,1,0,0
alexada01,2450,811,0.3310204082
alexado01,265,44,0.1660377358
alexaga01,1276,293,0.2296238245
alexahu01,11,1,0.09090909091
alexama01,168,36,0.2142857143
alexama02,1271,293,0.230527144
alexani01,69,9,0.1304347826
alexape01,1810,378,0.208839779
alexasc01,8,0,0
alexawa01,405,76,0.187654321
alfarja01,11,2,0.1818181818
alfarjo01,467,126,0.2698072805
alfonan01,14,2,0.1428571429
alfoned01,5385,1532,0.2844939647
alfonel01,591,142,0.2402707276
alforan01,27,3,0.1111111111
alicelu01,3971,1031,0.2596323344
allanan01,1486,357,0.2402422611
allarko01,1,1,1
allenbe01,3404,815,0.2394242068
allenbo01,2216,534,0.2409747292
allenbo02,22,3,0.1363636364
allenbo03,3,1,0.3333333333
allenbo04,31,4,0.1290322581
allenbr01,344,70,0.2034883721
allench01,851,229,0.2690951821
allendi01,6332,1848,0.291850916
allendu01,28,7,0.25
allenet01,4418,1325,0.2999094613
allenfr01,288,39,0.1354166667
allenga01,1061,235,0.2214891612
allengr01,300,76,0.2533333333
allenha01,70,19,0.2714285714
allenha02,881,212,0.2406356413
allenhe01,3,2,0.6666666667
allenho01,7,0,0
allenja01,108,16,0.1481481481
allenja02,273,61,0.2234432234
allenje01,1031,268,0.2599418041
allenjo02,716,124,0.1731843575
allenki01,54,12,0.2222222222
allenll01,40,8,0.2
allenlu01,9,1,0.1111111111
allenmy01,606,157,0.2590759076
allenne01,115,15,0.1304347826
allenni01,500,116,0.232
allenpe01,4,0,0
allenro01,11,1,0.09090909091
allenro02,50,11,0.22
allensl01,23,3,0.1304347826
alleyge01,3927,999,0.2543926662
alliebo01,45,8,0.1777777778
alliega01,418,83,0.1985645933
allisan01,92,15,0.1630434783
allisar01,741,188,0.2537112011
allisbi01,19,3,0.1578947368
allisbo01,5032,1281,0.2545707472
allisdo01,1407,382,0.2714996446
allisma01,76,9,0.1184210526
allismi01,60,13,0.2166666667
allrebe01,165,38,0.2303030303
almadme01,2483,706,0.2843334676
almanar01,4,0,0
almanca01,4,0,0
almeira01,285,77,0.2701754386
almonab01,996,236,0.2369477912
almonbi01,3330,846,0.2540540541
almoned01,1,0,0
